,geonameid,name,asciiname,latitude,longitude,country code
186262,6630368,Bristly Peaks,Bristly Peaks,-69.37659000000001,-66.35174,AQ
186263,6630369,"Bris, Mount","Bris, Mount",-63.98301,-59.824009999999994,AQ
186264,6630370,Britannia Range,Britannia Range,-80.0,158.0,AQ
186265,6630371,"Britannia, Mount","Britannia, Mount",-64.71754,-62.681219999999996,AQ
186266,6630372,British Antarctic Territory,British Antarctic Territory,-90.0,0.0,AQ
186267,6630373,"Aldrich, Mount","Aldrich, Mount",-80.11667,158.21667,AQ
186268,6630374,British Point,British Point,-62.08713,-58.3916,AQ
186269,6630375,Britt Peak,Britt Peak,-76.05,-135.11667,AQ
186270,6630376,Britten Inlet,Britten Inlet,-72.56931,-72.51243000000001,AQ
186271,6630377,"Brizuela, nunatak","Brizuela, nunatak",-65.96667,-60.95,AQ
186272,6630378,"Brjusova, nunataki","Brjusova, nunataki",-80.65,-28.53333,AQ
186273,6630379,Broad Valley,Broad Valley,-63.52559,-57.86949,AQ
186274,6630380,Brock Gully,Brock Gully,-76.73333000000001,159.73333,AQ
186275,6630381,"Brockelsby, Mount","Brockelsby, Mount",-67.56667,50.18333,AQ
186276,6630382,Aldridge Peak,Aldridge Peak,-72.45,167.4,AQ
186277,6630383,"Brockhamp, islotes","Brockhamp, islotes",-67.29738,-67.95149,AQ
186278,6630384,Brocklehurst Ridge,Brocklehurst Ridge,-71.03333,67.13333,AQ
186279,6630385,"Brocklehurst, Mount","Brocklehurst, Mount",-76.13333,161.45,AQ
186280,6630386,"Brocoum, Mount","Brocoum, Mount",-70.17833,-63.74005,AQ
186281,6630387,Brodie Peak,Brodie Peak,-69.40293,-66.11485,AQ
